ResponseId_B,ResponseId_A,Discipline,Q1_B_UIUC_data_used,Q2_B_how_provided,Q2_B_specify_online_database,Q2_B_other_specify,Q3_B_why_opt_not_use,Q3_B_other_specify,Q4_B_why_cited,Q4_B_other_specify
R_tYRjTAJIablB7RD,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:",BACKGROUND WAS ONLY USED,The paper cited provided general background for our work,
R_5yDzE0ZX9V6LMFH,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:","Because our publication reports our own, original data; the cited paper by [redacted] is a review paper and it was cited to help the reader get a general overview of the field.",The paper cited provided general background for our work,
R_3gumXY4D35reFEJ,R_33mc4kWMIzbMo4n,BIOC,No,,,,"There was no data in the paper,Other, please specify:","Both [redacted] and our articles were review articles, not containing any primary data.","The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Other, please specify:","Again, pertinent review in similar area."
R_2YKBcSuy7sn8EgK,R_1goIbPqXRcjHnet,MATE,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data,Other, please specify:",Both papers are from the same authors but the materials are different,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Our work addresses a similar process but in a different context,Our work used alternative or improved methodology",
R_1kUnkUg6WMDLDOf,R_33mc4kWMIzbMo4n,BIOC,No,,,,"There was no data in the paper,Other, please specify:","Both the cited paper and our paper are reviews of the literature, thus not primary research papers.","The paper cited provided general background for our work,Other, please specify:","More than simply general background, the cited review provided a review of a topic with relevance to the topics we reviewed."
R_PUII2osZkCwtfq1,R_1pScf60f2hcS5K2,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:",Citation to prior related work but the data from the cited paper are not directly applicable to our work.,The paper cited provided general background for our work,
R_2zUdsvRsFVfgqdF,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:","cited for general context, not for specific data sets",The paper cited provided general background for our work,
R_ODqW0oeSL3YszYd,R_2DYqAtihofHqYko,MEDI,No,,,,"Other, please specify:",cited reference for review,The paper cited provided general background for our work,
R_b7ab7hhveIrR4Ah,R_3KuNr4N6Kg1WsbU,CHEM,No,,,,"It is important for my students'education to learn to collect their own data,Other, please specify:",Data cannot be used because the research objects are different.,The paper cited provided general background for our work,
R_27yeVh7e2ccTwyw,R_1LS7V2v7hGi6Frl,MATE,No,,,,"Data did not address our specific research question,Other, please specify:",Data in the cited paper was not relevant.,"Other, please specify:",The Reviewer twisted my arm into citing this paper.
R_2OUVFH0lIR1dKxy,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",Data not needed for the purposes of my paper.,"Other, please specify:","Showing example of claims of ""loophole free""."
R_1pEBh2UN6okoaIx,R_3Hnzy9wTkrwVga1,ENGI,No,,,,"Data did not address our specific research question,Other, please specify:",Data per-se not relevant to our research. Citation was not for data.,The paper cited provided general background for our work,
R_2zDcuroEmBiMDeP,R_2OPTUwW0URU17Qm,MEDI,No,,,,"Other, please specify:",Data was publicly available and could be tailored to my analysis,The paper cited provided general background for our work,
R_1mlno7B2L2yRl5w,R_2DYqAtihofHqYko,MEDI,No,,,,"Other, please specify:",Didn't need data. Just citing the conclusions of the study.,"Other, please specify:",Example of fiber for food industry
R_2DMI4g1gCeufzcn,R_3PcaJ65Qc58kPgx,CHEM,No,,,,"Other, please specify:",I just cite [redacted] as one of the references.,The paper cited provided general background for our work,
R_1gLx4nDbPod1Noe,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:",I just cited this in the introduction as an example of an enhanced sampling method. No need to use data from that paper.,The paper cited provided general background for our work,
R_AFocq0i6p0PPWrn,R_2tbB72ykNoeSTaj,BIOC,No,,,,"Other, please specify:",I just presented one of their key findings in a single sentence in my review paper. Unless that's considered data too.,The paper cited provided general background for our work,
R_1OVq4LqpHuD8lWT,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Data did not address our specific research question,Other, please specify:","I used the methodology described in the paper, not the data.","The paper cited provided general background for our work,Other, please specify:",Used the same methodology
R_2awuydJ9zfXIHtU,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",I was referring to the results in the paper and comparing them to the results in a different paper.,"Other, please specify:",I was comparing the results in that paper to those in a different paper
R_2pXLPzUbDghPQtc,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:",I'm not sure I understand- I think the paper was just used as a reference ,The paper cited provided general background for our work,
R_3GljouHj0kGJxNg,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",independent method to obtain data,Our work addresses a similar process but in a different context,
R_2Vl1bKFWkISxnlD,R_2VPkOJ08mICxxzP,ENGI,No,,,,"There was no data in the paper,Other, please specify:",It was a positional paper,The paper cited provided general background for our work,
R_2frJeok6yGQKzXM,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",It was a review paper!,The paper cited provided general background for our work,
R_265VDRIQWunASKP,R_XRqE7nJDdBdx5mh,BIOC,No,,,,"Other, please specify:",It was the introduction of the paper and hence not required.,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_1CvfgJgUBLu30LF,R_2DYqAtihofHqYko,MEDI,No,,,,"Other, please specify:",Just wanted methods description,The paper cited provided general background for our work,
R_tRtm40zI7Jc7ez7,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:",My article was a Commentary - no data!,"The paper cited provided general background for our work,Other, please specify:",My paper was a commentary
R_3GleUwqnoXFpku5,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:",My article was a review.,The paper cited provided general background for our work,
R_2Eog5quRlk6qbWC,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:","no need, we were citing methodology","The paper cited provided general background for our work,Other, please specify:",the paper described methodology we also used
R_1IEQQf4Sl1fC5aO,R_bDfcjpBhAyVLU8V,ENGI,No,,,,"It is important for my students' education to learn to collect their own data,Other, please specify:",Not necessary to use ,The paper cited provided general background for our work,
R_cI1IrSjSeSj3tJL,R_2OPTUwW0URU17Qm,MEDI,No,,,,"Other, please specify:",Our contribution was a new study.  Why would we have used their data?,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Our work used alternative or improved methodology",
R_8v0JxZKxMSv3xWV,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:","Our paper was a review paper. [redacted]'s paper was also a review paper of sorts - they did generate some datasets to illustrate their points, but we did not need to re-use these datasets.",The paper cited provided general background for our work,
R_3k0cQUWojIWP1Xc,R_1q1F9NYfacLMz2l,COMP,No,,,,"Other, please specify:","Science is about exploration, not a race of algorithms. We do not run for a medal of a race. So for new findings, not all papers need to compare with others. ",The paper cited provided general background for our work,
R_1invNAebOXoubRl,R_27xSRBo5D31eLr5,ENGI,No,,,,"Other, please specify:",Study area was different,The paper cited provided general background for our work,
R_1OZcurOnoILqQTe,R_1oC1Ok4VpZMHkUz,MEDI,No,,,,"Other, please specify:",The article discussed trends in the use of [redacted] in a generic and global manner. The article in question was considered due to the number of citations at the time of the review.,"Other, please specify:",The article discussed trends in the use of [redacted] in a generic and global manner. The article in question was considered due to the number of citations at the time of the review.
R_2y8hg2eAdD1jqsL,R_1pScf60f2hcS5K2,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:",The cited paper by [redacted] was cited to give a reference to prior knowledge in the filed that our paper advances.,The paper cited provided general background for our work,
R_21AKfxvpPPeK74B,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Data did not address our specific research question,There was no data in the paper,Other, please specify:","The cited paper is a review article, not one reporting original research.",The paper cited provided general background for our work,
R_RDZoXhue60l8tqh,R_3fN94PgHTZvmT8n,MEDI,No,,,,"There was no data in the paper,Other, please specify:","The cited paper was a review paper, not an orginal research article.",The paper cited provided general background for our work,
R_1ojpaiei8NyR9rw,R_3GkulVLiyP5j3J1,MEDI,No,,,,"Other, please specify:",The cited publication is a short review that contains valuable information in the specific field.,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_324Qim76a5qgARj,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Data did not address our specific research question,Other, please specify:","[redacted] was a review paper, there were no primary data",The paper cited provided general background for our work,
R_3nxvjrTvbXFCsD4,R_3PcaJ65Qc58kPgx,CHEM,No,,,,"Other, please specify:",The manuscript that was cited corresponded to a review article. We did not cite the paper because we took data from it. This work was cited because it would provide a context to the reader of our paper.,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_3J7V4gWKKb1FD6K,R_3KuNr4N6Kg1WsbU,CHEM,No,,,,"Other, please specify:",The paper in [redacted] is done by ourselves and not collaborate with [redacted]. So it is impossible to use data of others for publishing a paper. ,The paper cited provided general background for our work,
R_339EPGuDGbSYpMj,R_3n0K0IRFWgg3NV3,ENVI,No,,,,"Other, please specify:",The paper is cited to emphasize the trend in [redacted],"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_2DXE17lzeRgfesl,R_BJuFTlG55oyflM5,COMP,No,,,,"Other, please specify:",The paper was a methods paper,"Other, please specify:",We used the method in the paper
R_3FX7NyxSphd0Ld2,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Data did not address our specific research question,There was no data in the paper,Other, please specify:",The paper was a review paper.,The paper cited provided general background for our work,
R_2QR3mLBm5ah4Dlh,R_3PcaJ65Qc58kPgx,CHEM,No,,,,"Data did not address our specific research question,Other, please specify:","The paper was cited as important background, but there was no need to include in this paper.",The paper cited provided general background for our work,
R_27H9tjfa00MSF3C,R_XRqE7nJDdBdx5mh,BIOC,No,,,,"Other, please specify:",The paper was referenced only as a background material. The detailed data were not relevant to our study.,The paper cited provided general background for our work,
R_1dgY2lbNFzoWFCl,R_3fN94PgHTZvmT8n,MEDI,No,,,,"There was no data in the paper,Other, please specify:",The paper we cited was a review paper and did not contain original data,The paper cited provided general background for our work,
R_We7HspehLTFS5JD,R_1LS7V2v7hGi6Frl,MATE,No,,,,"Other, please specify:","The reviewer insisted we should cite this paper. However, we have not used any data from it. ","Other, please specify:",The reviewer considered the paper should be cited.
R_32X7sjYRiQ6oUGI,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:",The said [redacted] paper is a review article from theoretical point of view and there are no experimental data to be used.,The paper cited provided general background for our work,
R_2qxY0zblTyZPizI,R_3GkulVLiyP5j3J1,MEDI,No,,,,"Data did not address our specific research question,Other, please specify:","The topic was similar to the topic, but the complexes were different enough that there as no need to reproduce any of the data","The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_szhEYZaN9Y8KdZn,R_vV7PKGxpF2HVQ8V,PHYS,No,,,,"Other, please specify:",The two papers were on a different subject. ,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_3CO5uQA7kXu3HcC,R_1pScf60f2hcS5K2,PHYS,No,,,,"Data did not address our specific research question,Other, please specify:","Theoretical paper, did not use data at all",The paper cited provided general background for our work,
R_1IblHziPz7LEeum,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",There was no need to use data from this paper. ,"Other, please specify:",Our two papers presented similar results back to back in the same journal. 
R_1hYHEbku3jcrtIl,R_1pScf60f2hcS5K2,PHYS,No,,,,"Other, please specify:",There was no need.,Our work addresses a similar process but in a different context,
R_1QE2ZLlmNiOFQqh,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:",there was no reason to reuse their data,"Other, please specify:",the paper provided numbers on a different [redacted] data domain [redacted]
R_b1ToGvAVq3b8AQF,R_3QJl4GqYa3hqSmP,CHEM,No,,,,"There was no data in the paper,Other, please specify:",This was a subject area critical review,"The paper cited provided general background for our work,Other, please specify:",Our paper was a critical review of the field
R_3HvQGJavfv3ZxQw,R_1M0oybwscLN9XCy,CHEM,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data,Other, please specify:",This was cited as part of intro into the subject area,The paper cited provided general background for our work,
R_YQZuwwTSRokLdtv,R_PHeUwNJtm5jvbrj,CHEM,No,,,,"Other, please specify:",we accepted their conclusion without using their actual data,The paper cited provided general background for our work,
R_1rrfDdRenaCVdWF,R_2OPTUwW0URU17Qm,MEDI,No,,,,"Data did not address our specific research question,Other, please specify:",We already had collected data from a prior project,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Other, please specify:",The author is a frequent collaborator with our team
R_1jpI6OptuofYRAL,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",We are reporting our own results.,The paper cited provided general background for our work,
R_3dYNiDPBajbphD9,R_3hi692xZLMInCoA,ENGI,No,,,,"Other, please specify:","We cited the work as a reference in the background statement, but we did not use any specific data in the paper to generate any plots in our own paper.","The paper cited provided general background for our work,Our work used alternative or improved methodology,Our paper validated the results of the cited paper",
R_22YsGJxWq6RzTlr,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:","We cited this paper in relation to their methodology, not their data.",The paper cited provided general background for our work,
R_2YzAYfeFaQfBF34,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Other, please specify:",We cited this paper only to state the concept of [redacted].,The paper cited provided general background for our work,
R_ZEkuagOtiT3CDnj,R_24MEuk7xpLeHgPo,PHYS,No,,,,"It is important for my students' education to learn to collect their own data,Other, please specify:",we did not address exactly teh same issiue,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Our work used alternative or improved methodology",
R_12LMpBKupRQ8QRX,R_1NqeYmiHyFuzPG2,MEDI,No,,,,"Other, please specify:","We did not consider to use any other data than our own, which had been designed to answer our research question",The paper cited provided general background for our work,
R_tXQtAkO0SIk4AE1,R_2tbB72ykNoeSTaj,BIOC,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data,Other, please specify:",We did not need to use the data. We quote the message of their paper to discuss our own data.,"Other, please specify:",their data was a possible explanation for our finding
R_2uNHtDPWc332MsN,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Other, please specify:",We don't have to use any data in our survey paper.,The paper cited provided general background for our work,
R_2b3jdyPKTtfauZ7,R_33mc4kWMIzbMo4n,BIOC,No,,,,"Other, please specify:",We generated our own data.,The paper cited provided general background for our work,
R_2UfnmjS18rk8iuf,R_sopM69Rlgndqlqx,MATE,No,,,,"Other, please specify:",We just refereed to some qualitative information in the paper.,Our paper validated the results of the cited paper,
R_3PSGIJdMajxXa3T,R_W8aKSQrkB41epaN,ENGI,No,,,,"It is important for my students' education to learn to collect their own data,Other, please specify:",we learnt from their research and then designed our own experiment on [redacted],"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_TwsjRslz1soEJSp,R_1QnkHTDqATDTUnu,BIOC,No,,,,"Other, please specify:",We only cited the paper in the Introduction as a motivation to our work.,The paper cited provided general background for our work,
R_2PtABQQXIJjxtCA,R_2DYqAtihofHqYko,MEDI,No,,,,"Other, please specify:","we only needed the conclusion, not the real data",The paper cited provided general background for our work,
R_6xUG3EYxVTj2sZH,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",We published our own data,The paper cited provided general background for our work,
R_22WVfl5mMe14hnE,R_3Hnzy9wTkrwVga1,ENGI,No,,,,"Other, please specify:",We referred the conclusion derived in the paper for supporting our data.,Our paper validated the results of the cited paper,
R_eyBXP8XDfZvltoR,R_24MEuk7xpLeHgPo,PHYS,No,,,,"Other, please specify:",we use the citation to point to a conclusion of the paper rather than using actual data from the paper,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context,Other, please specify:",the paper I wrote was a small review
R_1pDNA2aXJZnxpDY,R_1M0oybwscLN9XCy,CHEM,No,,,,"Other, please specify:","We used the conclusions and scientific understanding, but not the specific data included in the paper","The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_CjomwUyMVdaUanD,R_27xSRBo5D31eLr5,ENGI,No,,,,"Other, please specify:",We used the data for comparison,Our paper validated the results of the cited paper,
R_2OZOSkEgFsmDCBZ,R_1DINDJWhJZ4Aglx,CHEM,No,,,,"Other, please specify:","We voted this paper as it was foundational for our work, and we address to it, but did not reuse the dsta","The paper cited provided general background for our work,Our work is an extension of the cited paper,Our paper validated the results of the cited paper",
R_1rxJpTAxsAAtFpZ,R_WoqG3CNDhRMQ87f,EART,No,,,,"Data did not address our specific research question,Other, please specify:",We wrote a review paper on [redacted] not science paper about [redacted],The paper cited provided general background for our work,
R_3efW3futMVksHv7,R_2OUAi0dsXYZ44QP,CHEM,No,,,,"Other, please specify:",wedid not ask for it,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_9zQKxpFtgcALqG5,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_7QZ7Bfv5C3IgfGp,R_24MEuk7xpLeHgPo,PHYS,No,,,,,,,
R_2eaOgkqJhqdOTZD,R_3PgDg5AKn7rtGfj,COMP,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_sdFNTzHsmQxVovT,R_3hG6Jv6Uh64hCxi,COMP,No,,,,"Data did not address our specific research question,It would be have too complicated to use the data due to data use agreements or others IP restrictions",,The paper cited provided general background for our work,
R_2YX2zHe3oiO7Hh3,R_1oC1Ok4VpZMHkUz,MEDI,No,,,,"Data did not address our specific research question,It would be have too complicated to use the data due to data use agreements or others IP restrictions",,Our work addresses a similar process but in a different context,
R_3feG1htWPXlSoBi,R_3fN94PgHTZvmT8n,MEDI,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_3suDhK7bBBEAbNN,R_24MEuk7xpLeHgPo,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_3r1z7xI5Q6M8QPG,R_24MEuk7xpLeHgPo,PHYS,No,,,,There was no data in the paper,,The paper cited provided general background for our work,
R_3qjPGfU1MRNiPEN,R_24MEuk7xpLeHgPo,PHYS,No,,,,Data did not address our specific research question,,The paper cited provided general background for our work,
R_ODmVQ04zysZNUvT,R_3KuNr4N6Kg1WsbU,CHEM,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,The paper cited provided general background for our work,
R_2wpOLDVcgO4xfFS,R_3fN94PgHTZvmT8n,MEDI,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_2xQ02jwm3Iu7tCi,R_33mc4kWMIzbMo4n,BIOC,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work is an extension of the cited paper,Our work addresses a similar process but in a different context,Our paper validated the results of the cited paper",
R_TvGWT5dMfmAaokV,R_XRqE7nJDdBdx5mh,BIOC,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,The paper cited provided general background for our work,
R_2tz2KySIgojb5a0,R_1pScf60f2hcS5K2,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_7P1royTdwCpVS01,R_3fN94PgHTZvmT8n,MEDI,No,,,,"Data did not address our specific research question,There was no data in the paper",,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_2tnaq0x6xhAfRTF,R_3ozMbiAdU3U8F71,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_TbIGS3kXkLp7xN7,R_3ozMbiAdU3U8F71,PHYS,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_3g1l8KBcaakQ1Rq,R_VOTXdJZbi93ky9X,CHEM,No,,,,Data did not address our specific research question,,Our work addresses a similar process but in a different context,
R_12i2z9bA6YCaxFE,R_2OPTUwW0URU17Qm,MEDI,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
R_3eawBFopxAklAR9,R_W8aKSQrkB41epaN,ENGI,No,,,,"Data did not address our specific research question,It is important for my students' education to learn to collect their own data",,"The paper cited provided general background for our work,Our paper validated the results of the cited paper",
R_2Vlvt5FFdGOs5EL,R_vV7PKGxpF2HVQ8V,PHYS,No,,,,Data did not address our specific research question,,"Other, please specify:",We used a computational tool created by the paper.
R_3s6UnXv8ZXRu5Ey,R_1QnkHTDqATDTUnu,BIOC,No,,,,,,,
R_1InMDaytJtMSzxZ,R_BJuFTlG55oyflM5,COMP,No,,,,Data did not address our specific research question,,"Other, please specify:",Our work used the computational tool presented in the paper to answer an empirical question
R_1F3aBjIqQOvZwJW,R_3GkulVLiyP5j3J1,MEDI,No,,,,Data did not address our specific research question,,"The paper cited provided general background for our work,Our work addresses a similar process but in a different context",
